index,review_title,rating
823,Wonderful stay in Brugge...wish I could have enjoyed Katrien's hospitality longer!,10
824,Superb,9
825,Exceptional,10
826,Good,7.5
827,Very nice,7.9
828,Excellent overnight stop heading for the Zeebrugge ferry the next day.,8.3
829,Very good,8
830,Top hotel & restaurant - superb location - stylish ambiente - excellent team,10
831,Superb,9
832,Pleasant,6
833,Passable,5
834,Exceptional,10
835,Good,7
836,Very good,8
837,Superb,9
838,Homely atmosphere and great location,9.2
839,I would certainly use this hotel in future.,7.9
840,Superb,9
841,Very good,8
842,"All you need is love, bubbles and Bruges!",9
843,dont stay there,1
844,Exceptional,10
845,Fabulous,8.8
846,Great.,10
847,Exceptional,10
848,Exceptional,10
849,Fabulous,8.8
850,Good,7
851,Very good,8
852,Superb,9.2
853,Exceptional,10
854,Good,7.1
855,Exceptional,10
856,Very good,8.3
857,Fabulous,8.8
858,Nice hotel,7
859,Very loud smelly floors,4.6
860,Superb,9.2
861,Exceptional,10
862,Very good,8
863,Passable,5.4
864,Superb,9.2
865,Excellent!,10
866,Nice clean rooms nearby the sea. 😊,8
867,Clean rooms 👌 ,
868,Service was very good 👍 ,
869,Nearby the beach,
870,Passable,5
871,Exceptional,10
872,Great stay in the city center.,8.3
873,- Beautiful restaurant!,
874,new years eve fire work,9
875,Poor,3
876,Exceptional,10
877,Superb,9
878,Exceptional,9.6
879,Very good,8
880,Nice little hotel,8.8
881,Passable,5
882,Exceptional,10
883,Exceptional,10
884,"Absolutely awful nights sleep before having to do a 6 hour drive, I would recommend any other hotel if you need a good n",2.5
885,Friendly and warm place,9
886,Good,7.5
887,Exceptional,10
888,Maria was an excellent host. She was very helpful in suggesting places to visit.,8.3
889,Very good,8
890,overall it's a great place to stay and I'd happily stay here again.,8.3
891,Great location for our long beach weekend.,8
892,Quite dissatisfied with my stay!,3.8
893,Exceptional,10
894,Passable,5.4
895,Very good,8
896,Good,7
897,Exceptional,10
898,Fabulous,8.8
899,Superb,9
900,very good,7.5
901,Exceptional,9.6
902,Convenient if you have an early flight next day,8.8
903,Exceptional,10
904,Exceptional,10
905,Good,7
906,Good,7.9
907,100% recommended!,10
908,Exceptional,9.6
909,Fantastic one night stay.,9.2
910,Exceptional,10
911,Would return,9
912,Superb,9.2
913,Exceptional,10
914,A nice stay but details should be better for this price,8
915,Passable,5.4
916,Exceptional,10
917,Very good,8.3
918,"Beautiful location ,Very friendly owners",10
919,good location,7.5
920,Comfortable accommodation in an excellent location.,8.3
921,Exceptional,10
922,"Hotel is close to center and beach, staff is super friendly, breakfast is great.",9.6
923,Ending out trip there was a 'downer'. I rather pay more and get something that is not so ;(,5.4
924,Exceptional,10
925,Superb,9
926,Exceptional,10
927,Decent accommodation and very nice hosts,7.9
928,Good,7.9
929,Exceptional,10
930,Very good,8.3
931,Interesting quirky hotel.  Lovely breakfast and friendly staff.,9.2
932,Supper location and facilities,10
933,Exceptional,9.6
934,No happy,3.3
935,Exceptional,10
936,Good,7.5
937,to be repeated,10
938,Exceptional,10
939,Pleasant,6.3
940,Superb,9
941,Comfy stay in a good location.,9.6
942,great stay,10
943,Superb,9.2
944,Superb,9.2
945,Pleasant,6.7
946,Very good,8.3
947,Exceptional,10
948,very pleasant,8.8
949,Good,7.9
950,Exceptional,10
951,Great,9.6
952,Fabulous,8.8
953,"Good to live in the area where the locals live, not just tourists, at the same time near the sea)",7.1
954,Poor,3.3
955,Exceptional,10
956,Excellent and will remember forever,10
957,An Hotel that promised much failed to deliver.,5.8
958,Superb,9.2
959,Good,7.9
960,All you need,10
961,Good,7.5
962,Fabulous,8.3
963,Good,7.5
964,Passable,5
965,Passable,5.4
966,Passable,5.4
967,"A wonderful location, but did not live up to expectations.",5.8
968,Exceptional,10
969,Good,7.1
970,Exceptional,10
971,Superb,9
972,Good,7.1
973,Very pleasant.,9.6
974,Superb,9.2
975,Exceptional,10
976,Superb,9
977,Recommended,9.6
978,Friendly house and a pleasant stay.,8.8
979,Very good,8.3
980,Exceptional,10
981,Good,7
982,Exceptional,10
983,"Hotel near to beach, nice room and comfy bed. Late check in complicated, Hotel entrance door locked",9.6
984,Exceptional,10
985,Very good,8
986,Exceptional,10
987,Calm and green surrounding house,9.2
988,Good,7.9
989,Exceptional,10
990,Good,7.1
